"Grau de Instrução";"Masculino(M)";"%M/T";"Feminino(F)";"%F/T";"Não Informado(N)";"%N/T";"Total(T)";"%T/TT";
"ANALFABETO";"2.740.556";"48,225";"2.940.311";"51,740";"2.039";"0,036";"5.682.906";"3,883"
"ENSINO FUNDAMENTAL COMPLETO";"4.846.694";"50,134";"4.818.421";"49,841";"2.427";"0,025";"9.667.542";"6,606"
"ENSINO FUNDAMENTAL INCOMPLETO";"17.273.566";"50,347";"17.029.928";"49,637";"5.561";"0,016";"34.309.055";"23,443"
"ENSINO MÉDIO COMPLETO";"17.178.038";"44,443";"21.471.817";"55,552";"1.942";"0,005";"38.651.797";"26,411"
"ENSINO MÉDIO INCOMPLETO";"11.564.203";"50,485";"11.341.112";"49,511";"881";"0,004";"22.906.196";"15,652"
"LÊ E ESCREVE";"5.365.980";"50,366";"5.270.331";"49,469";"17.557";"0,165";"10.653.868";"7,280"
"NÃO INFORMADO";"12.928";"44,976";"15.058";"52,387";"758";"2,637";"28.744";"0,020"
"SUPERIOR COMPLETO";"6.383.963";"38,900";"10.026.828";"61,097";"577";"0,004";"16.411.368";"11,214"
"SUPERIOR INCOMPLETO";"3.600.894";"44,798";"4.436.869";"55,198";"312";"0,004";"8.038.075";"5,492"
"TOTAL(TT)";"68.966.822";"47,125";"77.350.675";"52,853";"32.054";"0,022";"146.349.551";"100,000"
